,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
81,,"At Yi","2021-11-23 12:06:53",0,no,no,"Commenting to mark my presence before the 1m 😼",UCJ89EHqUs4xdp0uOM8gRKkQ,UgwJbd5Cy8NErH1VEDh4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwJbd5Cy8NErH1VEDh4AaABAg
82,,"Ezequiel comic","2021-11-23 16:21:18",0,no,no,"I love this song in fact it made me cry since it brought me nostagia because at this time my mother was cooking and the lady was the same as her with the same aroma and everything and more the song I could not bear the tears.......tanks you <3",UC08V0eVYYBQq5eHpRjg3jWQ,UgwO8drsl7BZXOyA5jl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwO8drsl7BZXOyA5jl4AaABAg
83,,"WissaM GameR","2021-11-23 19:49:20",0,no,no,"You dont know how much i love this song",UCZ5dWR92tMFnnCWI1I_Aflw,UgxjYWC5LyI_DwgWvel4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxjYWC5LyI_DwgWvel4AaABAg
84,,"Pedro coutinho","2021-11-23 22:40:07",0,no,no,"O videoclip mais aleatorio do mundo 😊",UCpQf_NAimv6nAZjgcbMGqjg,UgyanUeTVVWb2FdTniB4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyanUeTVVWb2FdTniB4AaABAg
85,,iLoveJesuschrist,"2021-11-23 23:53:33",0,no,no,"John 3:16
For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting lifeRomans 10 : 9 That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved.",UC-3DSqpkXASPTTON2uUDUxQ,UgwPs_OzhGRHdpt1hvR4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwPs_OzhGRHdpt1hvR4AaABAg
86,,bshaun,"2021-11-24 05:30:04",0,no,no,"Showed this to my religion teacher who is now atheist",UC9OBZ1FjXyKJ7_atpkKJ1bw,UgwplVm2ohoKutKrBzd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwplVm2ohoKutKrBzd4AaABAg
87,,roxi,"2021-11-24 08:47:04",0,no,no,"can someone explain the video to me",UCx8skNxIxTRPAvryzEt4Chw,UgxQ3UxxMXfqF7p8L1J4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxQ3UxxMXfqF7p8L1J4AaABAg
88,,"Just Obvious","2021-11-24 09:34:12",1,no,no,"Id gladly cry my eyes out to this song at 3am",UCiwP4Yk5L4-QGRad-xPFsRw,UgzW2u8ndPGeE9QB4X94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzW2u8ndPGeE9QB4X94AaABAg
89,,Creesy,"2021-11-24 16:05:31",3,no,no,"Such a good song❤",UCcA5XM45LLdwJixbTuNSYtQ,UgxV3kw3tQh0fXLArKN4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxV3kw3tQh0fXLArKN4AaABAg
90,,"Kali Hellboy","2021-11-24 16:35:41",2,no,no,"love this song 🖤🌹",UCG2GqyxvCtOZRy7ukUXuz5g,UgxY6wI7xTYc_p61RG14AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxY6wI7xTYc_p61RG14AaABAg
91,,"alguien en internet","2021-11-24 18:05:16",2,no,no,"Lol i find a song that will be popular in the future

-me 24/November/2021",UCW55py2w31SMzwR_UUpxkig,UgzcsxyhD8Usdcp1b_V4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzcsxyhD8Usdcp1b_V4AaABAg
92,,"Diego Garcia","2021-11-24 19:29:55",1,no,no,"W pg",UC0wBXz_htikiSImzSKw_eZw,UgwD1MRqUNzkke76kQt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwD1MRqUNzkke76kQt4AaABAg
93,,"Gerardo Gomez","2021-11-24 23:10:33",0,no,no,"I'm makein dis shii into a drill song fs",UCKkEkK8J0JeS9SHka2S6soQ,UgwsxJjR25ncHXGp7rV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwsxJjR25ncHXGp7rV4AaABAg
94,,"JAKE zzz","2021-11-25 00:41:58",0,no,no,"Im here before this video got 400k views 🤙",UC4V4VI8IYxCbDU-bX7o0T3Q,Ugw6fRHBa-Hym-rMUCF4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugw6fRHBa-Hym-rMUCF4AaABAg
95,,"JAKE zzz","2021-11-25 00:42:15",0,no,no,"This song is so good, congrats!",UC4V4VI8IYxCbDU-bX7o0T3Q,Ugzbj-IBxzyQPK5hY714AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugzbj-IBxzyQPK5hY714AaABAg
96,,GamerStar55,"2021-11-25 02:50:29",1,no,no,"Phineas porque? :c",UCXmwjwVcC8Wg6RDVHwljYNg,UgxWRis4Su0tVOfhALx4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxWRis4Su0tVOfhALx4AaABAg
97,,"Aryana Wright","2021-11-25 04:09:48",0,no,no,"Love the vibes of this song",UCmiFhGKb42u1cNNMsbVYxqw,UgzDebHhJI8fEfr4ANZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzDebHhJI8fEfr4ANZ4AaABAg
98,,dat-PUS,"2021-11-25 04:49:56",0,no,no,"Finally I found is",UCuZ8cBT66jFsOscoeFER7hA,UgxoJ4PJBetueaVeB5N4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxoJ4PJBetueaVeB5N4AaABAg
99,,"Mad Chicken","2021-11-25 06:03:04",0,no,no,"This song is so good I can't believe it's only 500k views
Feel bad for those who don't know this song",UCs_pL-6voYH-Z1SRkm4pIkw,UgxHQT-WFjWm28EfV6N4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxHQT-WFjWm28EfV6N4AaABAg
100,,Maquinista,"2021-11-25 07:42:37",0,no,no,"Best music to chill<3",UCQ74FrJCudAPVQPToWzLQxw,UgzzsPu81haFhmjysL54AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzzsPu81haFhmjysL54AaABAg
