,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
21,,"Saint Cyber","2021-11-18 08:36:27",0,no,no,"Favorite somg",UC87op4XX6as69SeZi8llX_g,UgwujgXwRU0s8dqdwAt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwujgXwRU0s8dqdwAt4AaABAg
22,,"Juliana Sio","2021-11-18 15:37:21",0,no,no,"i love your work man keep it up",UCgeNtaq2FjYsyD3tXdQxNDw,Ugyekg1GgVlW_snU5fh4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugyekg1GgVlW_snU5fh4AaABAg
23,,"Vinícius Campos Ferreira","2021-11-18 20:00:06",0,no,no,"i wanna know what the clip means",UCoKULtIRJAA5oFo0Ec8Opyw,UgyNQjXVsNEFxBFbqhF4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyNQjXVsNEFxBFbqhF4AaABAg
24,,Lıκαяσш,"2021-11-18 21:20:21",0,no,no,"A real masterpiece, you really deserve the success on this song, it is really such a good vibe… Thanks 🙇🏼‍♂️💖",UC8hIOEKvO92NT-zvOv1atEA,Ugw3i-MehbUefS2T2Rx4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugw3i-MehbUefS2T2Rx4AaABAg
25,,"Hüseyin Talha ERDOĞAN","2021-11-18 21:41:52",0,no,no,"My birthday and i listen this song.",UCBklPd8cwP-YeN2I6x9sy2w,UgyGsVVIJVS2SPyozvB4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyGsVVIJVS2SPyozvB4AaABAg
26,,"Sol Durand","2021-11-18 22:11:49",1,no,no,👍🏽👍🏽👍🏽,UCIuXWMEcmtsRSKVEhXOFIcg,UgzacRPoX2lYSCgqdJR4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzacRPoX2lYSCgqdJR4AaABAg
27,,"Ren Sellars","2021-11-19 03:04:20",0,no,no,"i’m in love w this song",UCzhuzSVvtR-R_iZMdnRi-2w,UgwvU1WXspy406foPuR4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwvU1WXspy406foPuR4AaABAg
28,,"Liam A.","2021-11-19 03:51:36",0,no,no,"mierda son muy god man:(",UCaDJMn7AiicIQE8hAd6e6Qw,Ugz5OPnt2W7ti441ZOd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz5OPnt2W7ti441ZOd4AaABAg
29,,bigbraingoat,"2021-11-19 04:56:47",0,no,no,"700th comment love your song btw",UCOE2Ia8FdVzMs_W4lQL3Q0g,Ugxum8PChysq1pW85894AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxum8PChysq1pW85894AaABAg
30,,"Forrest Richard","2021-11-19 06:11:55",0,no,no,"Love this song",UCR-5MMzaJ7LMoJbV0jiV4DA,Ugwu8YJsVbPbJ-cH0UZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugwu8YJsVbPbJ-cH0UZ4AaABAg
31,,"Carlos Alejandro Rodriguez","2021-11-19 07:12:48",0,no,no,"I remember accidentally typing notion instead of potion in Apple music and this song came up. Been a banger ever since",UCN598K1kONljlBQo4cjbHyg,UgwnOgEY3tR5SARrgRJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwnOgEY3tR5SARrgRJ4AaABAg
32,,Freqtion,"2021-11-19 08:24:48",0,no,no,.,UCxImQ8ON52SIm7vCmUWsi7Q,Ugxq60r1RTVWK17z4yF4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxq60r1RTVWK17z4yF4AaABAg
33,,"Mohammed Hosny","2021-11-19 13:15:26",0,no,no,"Please let's take a moment of silence for those who can't find this song because I was one of them.",UCEY22oMKVqYVAl80q-wdk8w,UgzsXiJXz8n89VUP24l4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzsXiJXz8n89VUP24l4AaABAg
34,,"Romașcan Camelia","2021-11-19 14:47:56",0,no,no,"The definition of a happy vibe:",UC3oKy9-v9aEltejXsh3ZLuA,UgwWIuitxgXpStqlR2h4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwWIuitxgXpStqlR2h4AaABAg
35,,deda,"2021-11-19 16:53:57",1,no,no,"I’m here because tiktok",UCIkJSstVO7wvV_x6GaeCRoQ,Ugz8Z7pwXbi5KKgGvgd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz8Z7pwXbi5KKgGvgd4AaABAg
36,,"KAIO RODRIGO","2021-11-19 17:06:29",0,no,no,"Tendi poha nenhuma",UCWeMw4yLGDDYM3kvw0fkmcw,Ugxr879r_-N7bBcAk0V4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxr879r_-N7bBcAk0V4AaABAg
37,,"dark mis","2021-11-19 17:44:47",0,no,no,"Pedro depressões",UCr7NtQYRnyHTlZXvdmuTMZA,UgwJ8G1d74IUZUhlmIZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwJ8G1d74IUZUhlmIZ4AaABAg
38,,Shiro,"2021-11-19 20:20:45",0,no,no,a,UCH7sw5aiTzcwBOXQGX3CqFg,UgwNdcG4by_n3IqPEIN4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwNdcG4by_n3IqPEIN4AaABAg
39,,YAR,"2021-11-19 21:10:34",0,no,no,"Wish I could of this song a long time
ago",UCjJwRDzPSt1i0yqwUa3PTVA,UgzPKyuiqhtrtLCUOnZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzPKyuiqhtrtLCUOnZ4AaABAg
40,,"Paz Gutierrez","2021-11-19 22:55:13",1,no,no,"Esto es demasiado perfecto...",UCdUeFK5PbIYG7nvhxacmu4Q,UgyEiEvx2mvmFT33XLJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyEiEvx2mvmFT33XLJ4AaABAg
41,,"Anton Teza","2021-11-20 02:56:58",1,no,no,"what is the girl's name?",UC_LJyfaD6gcFGYUb0nXrdpw,UgwlLR6i6OWklX6GEA14AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwlLR6i6OWklX6GEA14AaABAg
42,,Journè,"2021-11-20 03:25:04",90,no,no,"I lost a close friend this week. We both loved this song cause we would always skateboard to it. This song helps me understand that I have to live no matter what! I’m so happy this song is here for me. In his memory, long live Magdiel<3",UCbT9OfqvHHVbpIhsHWHh1bw,Ugw02uJCkmvf0ZIWrQ94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugw02uJCkmvf0ZIWrQ94AaABAg
43,,"LiL spencers ","2021-11-20 03:47:07",4,no,no,"This song helped me through some tough times, love your music ❤",UCydbRLkYVbd15SfkR7dZtkA,UgxqDpV2kMuGjANd5Kd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxqDpV2kMuGjANd5Kd4AaABAg
44,,"Noah Hernandez","2021-11-20 08:24:48",0,no,no,"Love the song and the rare occasions but wtf is this video",UCs3_35V4QOqNEOgoIu_xckA,UgzR17uiPnwB9wiV_7t4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzR17uiPnwB9wiV_7t4AaABAg
45,,"Dogumgunu Hediyesi","2021-11-20 12:58:49",0,no,no,"Tiktokta emin ol çoğu kişi senin şarkını dinliyor",UCIW47bohshJLauAsZCw2s1g,UgzJeJLA8-bxVzUu6SN4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzJeJLA8-bxVzUu6SN4AaABAg
46,,pitchie,"2021-11-20 15:53:47",0,no,no,"Omg i found it. A gem ❤️",UCSCpc0spVBF9-FUVsecynhg,Ugz7OaH7eVRaH1wHset4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz7OaH7eVRaH1wHset4AaABAg
47,,"GIAN 11","2021-11-20 18:10:46",1,no,no,"This is such a masterpiece❤️ this needs more views ngl.",UCcZ6remAq8uXucxAMAxxf7Q,UgwMGUxSc4nhZuvKXYF4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwMGUxSc4nhZuvKXYF4AaABAg
48,,Edentation,"2021-11-20 21:03:26",0,no,no,"I really like the start",UCqB8hXykuh9PPWfm7MqFNXA,UgzHHMQzHnuxY-4fGg94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzHHMQzHnuxY-4fGg94AaABAg
49,,tui,"2021-11-21 02:25:36",0,no,no,"Algum BR em 2021?",UCjRXSs5w0s5akplh3r9XakQ,UgzuE2KPK-p2StIESMh4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzuE2KPK-p2StIESMh4AaABAg
50,,"Ana Yasmin","2021-11-21 04:24:29",0,no,no,"Lo que sentí con esta canción fue algo raro pero bonito",UC6HvZPtMvjWUEVAm6HIUhtg,UgwwDCFzllDyXiYqpOV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwwDCFzllDyXiYqpOV4AaABAg
51,,"Suci Rezky_","2021-11-21 04:52:23",0,no,no,"Ini bakalan lagu ter vav saya dari dulu Ampe sekarang",UCA0S9XyA45tcd7NMaySAx3w,Ugxvdt26-a2GAXJsOYx4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxvdt26-a2GAXJsOYx4AaABAg
52,,"Nancy Martínez","2021-11-21 05:27:30",0,no,no,<3,UC9-uKQX5W8MEs-kJJCYMrDA,UgzzTJ1lG1gN5IT5UMJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzzTJ1lG1gN5IT5UMJ4AaABAg
53,,Sympetix,"2021-11-21 08:01:20",0,no,no,"This hits different <3",UCsweyt2AFmTAW6h9H4Dkc-Q,UgweZLimg7zfGIOGm-B4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgweZLimg7zfGIOGm-B4AaABAg
54,,Superior,"2021-11-21 11:45:14",0,no,no,"it's a good song, surprising that other people don't know it",UCsOvWktyj2MZhwu_oBVqOqA,UgyAKZ4fJ9skM-BFWxd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyAKZ4fJ9skM-BFWxd4AaABAg
55,,"33-อรรฆพร ขอจงดี","2021-11-21 13:09:11",0,no,no,😳👍,UC9qOqwTmN42IIAeLfSLhcVQ,UgxTLgkGslQ7CrlcKHx4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxTLgkGslQ7CrlcKHx4AaABAg
